State,Direction,Transect,Distance (m),Deposition (g filter-1) 
Arkansas,downwind,1,15,59.28
Arkansas,downwind,1,30,14.88
Arkansas,downwind,1,46,7.98
Arkansas,downwind,1,61,4.86
Arkansas,downwind,1,76,8.68
Arkansas,downwind,1,91,
Arkansas,downwind,1,107,
Arkansas,downwind,1,122,8.68
Arkansas,downwind,1,137,
Arkansas,downwind,2,15,58.78
Arkansas,downwind,2,30,50.08
Arkansas,downwind,2,46,
Arkansas,downwind,2,61,
Arkansas,downwind,2,76,34.78
Arkansas,downwind,2,91,32.18
Arkansas,downwind,2,107,
Arkansas,downwind,2,122,17.18
Arkansas,downwind,2,137,
Arkansas,downwind,3,15,
Arkansas,downwind,3,30,
Arkansas,downwind,3,46,185.28
Arkansas,downwind,3,61,75.38
Arkansas,downwind,3,76,25.08
Arkansas,downwind,3,91,19.38
Arkansas,downwind,3,107,17.38
Arkansas,downwind,3,122,21.48
Arkansas,downwind,3,137,16.38
Indiana,downwind,1,4,64.10
Indiana,downwind,2,4,0.54
Indiana,downwind,3,4,5.38
Indiana,downwind,1,7,101.00
Indiana,downwind,2,7,6.48
Indiana,downwind,3,7,6.65
Indiana,downwind,1,16,47.00
Indiana,downwind,2,16,8.27
Indiana,downwind,3,16,9.31
Indiana,downwind,1,30,25.70
Indiana,downwind,2,30,1.36
Indiana,downwind,3,30,11.10
Indiana,downwind,1,45,26.40
Indiana,downwind,2,45,1.36
Indiana,downwind,3,45,14.50
Indiana,downwind,1,60,23.50
Indiana,downwind,2,60,1.12
Indiana,downwind,3,60,2.02
Indiana,downwind,1,75,17.70
Indiana,downwind,2,75,1.00
Indiana,downwind,3,75,1.22
Indiana,downwind,1,90,13.40
Indiana,downwind,2,90,1.12
Indiana,downwind,3,90,3.85
Indiana,upwind,4,,1.73
Indiana,upwind,4,,2.15
Indiana,upwind,4,,1.01
Michigan,downwind,1,4,1180.00
Michigan,downwind,1,8,276.00
Michigan,downwind,1,16,55.40
Michigan,downwind,1,31,29.30
Michigan,downwind,1,45,24.00
Michigan,downwind,1,60,14.40
Michigan,downwind,1,75,8.29
Michigan,downwind,1,90,7.69
Michigan,downwind,1,105,5.57
Michigan,downwind,1,120,6.33
Michigan,downwind,2,4,14.90
Michigan,downwind,2,8,9.96
Michigan,downwind,2,16,16.00
Michigan,downwind,2,31,4.17
Michigan,downwind,2,45,6.90
Michigan,downwind,2,60,5.17
Michigan,downwind,2,75,1.49
Michigan,downwind,2,90,2.05
Michigan,downwind,2,105,0.00
Michigan,downwind,2,120,0.00
Michigan,downwind,3,4,275.00
Michigan,downwind,3,8,60.10
Michigan,downwind,3,16,38.70
Michigan,downwind,3,31,10.40
Michigan,downwind,3,45,2.49
Michigan,downwind,3,60,1.27
Michigan,downwind,3,75,1.29
Michigan,downwind,3,90,3.04
Michigan,downwind,3,105,0.00
Michigan,downwind,3,120,0.00
Michigan,upwind,4,8,0.00
Michigan,upwind,4,30,3.12
Michigan,upwind,5,8,1.44
Michigan,upwind,5,30,0.00
Michigan,upwind,6,8,0.00
Michigan,upwind,6,30,1.15
Nebraska,downwind,1,4,16000.00
Nebraska,downwind,1,8,2880.00
Nebraska,downwind,1,16,959.00
Nebraska,downwind,1,31,199.00
Nebraska,downwind,1,45,85.70
Nebraska,downwind,1,60,66.70
Nebraska,downwind,1,75,45.30
Nebraska,downwind,1,90,45.60
Nebraska,downwind,1,105,43.60
Nebraska,downwind,1,120,59.10
Nebraska,downwind,2,4,12000.00
Nebraska,downwind,2,8,9020.00
Nebraska,downwind,2,16,2070.00
Nebraska,downwind,2,31,312.00
Nebraska,downwind,2,45,118.00
Nebraska,downwind,2,60,68.40
Nebraska,downwind,2,75,57.80
Nebraska,downwind,2,90,40.50
Nebraska,downwind,2,105,37.70
Nebraska,downwind,2,120,30.40
Nebraska,upwind,4,31,3.02
Nebraska,upwind,4,31,3.96
Nebraska,upwind,4,31,10.30
Ontario,downwind,1,4,814.00
Ontario,downwind,1,8,280.00
Ontario,downwind,1,16,55.00
Ontario,downwind,1,31,18.30
Ontario,downwind,1,45,4.79
Ontario,downwind,1,60,7.46
Ontario,downwind,1,75,0.00
Ontario,downwind,1,90,5.02
Ontario,downwind,1,105,3.25
Ontario,downwind,2,4,216.00
Ontario,downwind,2,8,127.00
Ontario,downwind,2,16,51.40
Ontario,downwind,2,31,36.40
Ontario,downwind,2,45,26.20
Ontario,downwind,2,60,9.02
Ontario,downwind,2,75,5.74
Ontario,downwind,2,90,10.70
Ontario,downwind,2,105,6.69
Ontario,downwind,3,4,145.00
Ontario,downwind,3,8,
Ontario,downwind,3,16,41.50
Ontario,downwind,3,31,12.00
Ontario,downwind,3,45,11.20
Ontario,downwind,3,60,15.80
Ontario,downwind,3,75,4.40
Ontario,downwind,3,90,3.01
Ontario,downwind,3,105,
Ontario,upwind,4,4,0.00
Ontario,upwind,4,8,0.00
Ontario,upwind,4,16,0.00
Ontario,upwind,4,31,0.00
Ontario,upwind,4,45,0.00
Ontario,upwind,4,60,0.00
Ontario,upwind,4,75,0.00
Ontario,upwind,4,90,0.00
Ontario,upwind,4,105,0.00
Wisconsin,downwind,1,4,36.20
Wisconsin,downwind,1,8,15.30
Wisconsin,downwind,1,16,12.40
Wisconsin,downwind,1,31,10.10
Wisconsin,downwind,1,45,8.73
Wisconsin,downwind,2,4,141.00
Wisconsin,downwind,2,8,30.30
Wisconsin,downwind,2,16,15.60
Wisconsin,downwind,2,31,9.53
Wisconsin,downwind,2,45,6.57
Wisconsin,downwind,3,4,98.10
Wisconsin,downwind,3,8,35.20
Wisconsin,downwind,3,16,22.70
Wisconsin,downwind,3,31,4.10
Wisconsin,downwind,3,45,7.56
Wisconsin,upwind,4,4,1.14
Wisconsin,upwind,4,8,0.80
Wisconsin,upwind,4,16,1.58
Wisconsin,upwind,4,31,1.65
Wisconsin,upwind,4,45,1.20