State,Direction,Type,Site location,Distance (m),Injury (%),DAT
Arkansas,Downwind,Non-covered,East Transect 1,15.2,50,22
Arkansas,Downwind,Non-covered,East Transect 1,30.5,45,22
Arkansas,Downwind,Non-covered,East Transect 1,45.7,45,22
Arkansas,Downwind,Non-covered,East Transect 1,61,30,22
Arkansas,Downwind,Non-covered,East Transect 1,76.2,20,22
Arkansas,Downwind,Non-covered,East Transect 1,91.4,10,22
Arkansas,Downwind,Non-covered,East Transect 1,106.7,10,22
Arkansas,Downwind,Non-covered,East Transect 1,121.9,10,22
Arkansas,Downwind,Non-covered,East Transect 1,137.2,5,22
Arkansas,Downwind,Non-covered,East Transect 1,152.4,5,22
Arkansas,Downwind,Non-covered,East Transect 1,167.6,5,22
Arkansas,Downwind,Non-covered,East Transect 1,182.9,2,22
Arkansas,Downwind,Non-covered,East Transect 1,198.1,0,22
Arkansas,Downwind,Non-covered,East Transect 1,213.4,0,22
Arkansas,Downwind,Non-covered,East Transect 1,228.6,0,22
Arkansas,Downwind,Non-covered,East Transect 1,243.8,0,22
Arkansas,Downwind,Non-covered,East Transect 1,259.1,0,22
Arkansas,Downwind,Non-covered,East Transect 2,15.2,50,22
Arkansas,Downwind,Non-covered,East Transect 2,30.5,45,22
Arkansas,Downwind,Non-covered,East Transect 2,45.7,45,22
Arkansas,Downwind,Non-covered,East Transect 2,61,30,22
Arkansas,Downwind,Non-covered,East Transect 2,76.2,20,22
Arkansas,Downwind,Non-covered,East Transect 2,91.4,20,22
Arkansas,Downwind,Non-covered,East Transect 2,106.7,10,22
Arkansas,Downwind,Non-covered,East Transect 2,121.9,10,22
Arkansas,Downwind,Non-covered,East Transect 2,137.2,10,22
Arkansas,Downwind,Non-covered,East Transect 2,152.4,10,22
Arkansas,Downwind,Non-covered,East Transect 2,167.6,5,22
Arkansas,Downwind,Non-covered,East Transect 2,182.9,5,22
Arkansas,Downwind,Non-covered,East Transect 2,198.1,5,22
Arkansas,Downwind,Non-covered,East Transect 2,213.4,5,22
Arkansas,Downwind,Non-covered,East Transect 2,228.6,5,22
Arkansas,Downwind,Non-covered,East Transect 2,243.8,2,22
Arkansas,Downwind,Non-covered,East Transect 2,259.1,2,22
Arkansas,Downwind,Non-covered,East Transect 3,15.2,50,22
Arkansas,Downwind,Non-covered,East Transect 3,30.5,35,22
Arkansas,Downwind,Non-covered,East Transect 3,45.7,30,22
Arkansas,Downwind,Non-covered,East Transect 3,61,20,22
Arkansas,Downwind,Non-covered,East Transect 3,76.2,20,22
Arkansas,Downwind,Non-covered,East Transect 3,91.4,15,22
Arkansas,Downwind,Non-covered,East Transect 3,106.7,10,22
Arkansas,Downwind,Non-covered,East Transect 3,121.9,10,22
Arkansas,Downwind,Non-covered,East Transect 3,137.2,5,22
Arkansas,Downwind,Non-covered,East Transect 3,152.4,5,22
Arkansas,Downwind,Non-covered,East Transect 3,167.6,5,22
Arkansas,Downwind,Non-covered,East Transect 3,182.9,2,22
Arkansas,Downwind,Non-covered,East Transect 3,198.1,2,22
Arkansas,Downwind,Non-covered,East Transect 3,213.4,0,22
Arkansas,Downwind,Non-covered,East Transect 3,228.6,0,22
Arkansas,Downwind,Non-covered,East Transect 3,243.8,0,22
Arkansas,Downwind,Non-covered,East Transect 3,259.1,0,22
Arkansas,Downwind,Covered,East Transect 1,15.2,50,22
Arkansas,Downwind,Covered,East Transect 1,30.5,30,22
Arkansas,Downwind,Covered,East Transect 1,45.7,20,22
Arkansas,Downwind,Covered,East Transect 1,61,10,22
Arkansas,Downwind,Covered,East Transect 1,76.2,10,22
Arkansas,Downwind,Covered,East Transect 1,91.4,5,22
Arkansas,Downwind,Covered,East Transect 1,106.7,5,22
Arkansas,Downwind,Covered,East Transect 1,121.9,5,22
Arkansas,Downwind,Covered,East Transect 1,137.2,3,22
Arkansas,Downwind,Covered,East Transect 1,152.4,3,22
Arkansas,Downwind,Covered,East Transect 1,167.6,2,22
Arkansas,Downwind,Covered,East Transect 1,182.9,1,22
Arkansas,Downwind,Covered,East Transect 1,198.1,0,22
Arkansas,Downwind,Covered,East Transect 1,213.4,0,22
Arkansas,Downwind,Covered,East Transect 1,228.6,0,22
Arkansas,Downwind,Covered,East Transect 1,243.8,0,22
Arkansas,Downwind,Covered,East Transect 1,259.1,0,22
Arkansas,Downwind,Covered,East Transect 2,15.2,50,22
Arkansas,Downwind,Covered,East Transect 2,30.5,30,22
Arkansas,Downwind,Covered,East Transect 2,45.7,30,22
Arkansas,Downwind,Covered,East Transect 2,61,25,22
Arkansas,Downwind,Covered,East Transect 2,76.2,15,22
Arkansas,Downwind,Covered,East Transect 2,91.4,10,22
Arkansas,Downwind,Covered,East Transect 2,106.7,8,22
Arkansas,Downwind,Covered,East Transect 2,121.9,7,22
Arkansas,Downwind,Covered,East Transect 2,137.2,7,22
Arkansas,Downwind,Covered,East Transect 2,152.4,7,22
Arkansas,Downwind,Covered,East Transect 2,167.6,3,22
Arkansas,Downwind,Covered,East Transect 2,182.9,5,22
Arkansas,Downwind,Covered,East Transect 2,198.1,4,22
Arkansas,Downwind,Covered,East Transect 2,213.4,5,22
Arkansas,Downwind,Covered,East Transect 2,228.6,3,22
Arkansas,Downwind,Covered,East Transect 2,243.8,1,22
Arkansas,Downwind,Covered,East Transect 2,259.1,1,22
Arkansas,Downwind,Covered,East Transect 3,15.2,45,22
Arkansas,Downwind,Covered,East Transect 3,30.5,25,22
Arkansas,Downwind,Covered,East Transect 3,45.7,20,22
Arkansas,Downwind,Covered,East Transect 3,61,18,22
Arkansas,Downwind,Covered,East Transect 3,76.2,20,22
Arkansas,Downwind,Covered,East Transect 3,91.4,5,22
Arkansas,Downwind,Covered,East Transect 3,106.7,5,22
Arkansas,Downwind,Covered,East Transect 3,121.9,5,22
Arkansas,Downwind,Covered,East Transect 3,137.2,5,22
Arkansas,Downwind,Covered,East Transect 3,152.4,3,22
Arkansas,Downwind,Covered,East Transect 3,167.6,3,22
Arkansas,Downwind,Covered,East Transect 3,182.9,2,22
Arkansas,Downwind,Covered,East Transect 3,198.1,0,22
Arkansas,Downwind,Covered,East Transect 3,213.4,0,22
Arkansas,Downwind,Covered,East Transect 3,228.6,0,22
Arkansas,Downwind,Covered,East Transect 3,243.8,0,22
Arkansas,Downwind,Covered,East Transect 3,259.1,0,22
Arkansas,Upwind,Non-covered,West Transect 1,15.2,40,22
Arkansas,Upwind,Non-covered,West Transect 1,30.5,15,22
Arkansas,Upwind,Non-covered,West Transect 1,45.7,5,22
Arkansas,Upwind,Non-covered,West Transect 1,61,0,22
Arkansas,Upwind,Non-covered,West Transect 2,15.2,45,22
Arkansas,Upwind,Non-covered,West Transect 2,30.5,15,22
Arkansas,Upwind,Non-covered,West Transect 2,45.7,5,22
Arkansas,Upwind,Non-covered,West Transect 2,61,0,22
Arkansas,Upwind,Non-covered,West Transect 3,15.2,30,22
Arkansas,Upwind,Non-covered,West Transect 3,30.5,10,22
Arkansas,Upwind,Non-covered,West Transect 3,45.7,5,22
Arkansas,Upwind,Non-covered,West Transect 3,61,5,22
Arkansas,Upwind,Non-covered,West Transect 3,76.2,0,22
Arkansas,Upwind,Covered,West Transect 1,15.2,0,22
Arkansas,Upwind,Covered,West Transect 1,30.5,0,22
Arkansas,Upwind,Covered,West Transect 1,45.7,0,22
Arkansas,Upwind,Covered,West Transect 1,61,0,22
Arkansas,Upwind,Covered,West Transect 2,15.2,0,22
Arkansas,Upwind,Covered,West Transect 2,30.5,0,22
Arkansas,Upwind,Covered,West Transect 2,45.7,0,22
Arkansas,Upwind,Covered,West Transect 2,61,0,22
Arkansas,Upwind,Covered,West Transect 3,15.2,0,22
Arkansas,Upwind,Covered,West Transect 3,30.5,0,22
Arkansas,Upwind,Covered,West Transect 3,45.7,0,22
Arkansas,Upwind,Covered,West Transect 3,61,0,22
Arkansas,Upwind,Covered,West Transect 3,76.2,0,22
Ontario,Downwind,Covered,1,5,0,21
Ontario,Downwind,Covered,1,10,0,21
Ontario,Downwind,Covered,1,15,0,21
Ontario,Downwind,Covered,1,20,0,21
Ontario,Downwind,Covered,1,30,0,21
Ontario,Downwind,Covered,1,45,0,21
Ontario,Downwind,Covered,1,60,0,21
Ontario,Downwind,Covered,1,75,0,21
Ontario,Downwind,Covered,1,90,0,21
Ontario,Downwind,Covered,2,5,0,21
Ontario,Downwind,Covered,2,10,0,21
Ontario,Downwind,Covered,2,15,0,21
Ontario,Downwind,Covered,2,20,0,21
Ontario,Downwind,Covered,2,30,0,21
Ontario,Downwind,Covered,2,45,0,21
Ontario,Downwind,Covered,2,60,0,21
Ontario,Downwind,Covered,2,75,0,21
Ontario,Downwind,Covered,2,90,0,21
Ontario,Downwind,Covered,3,5,0,21
Ontario,Downwind,Covered,3,10,0,21
Ontario,Downwind,Covered,3,15,0,21
Ontario,Downwind,Covered,3,20,0,21
Ontario,Downwind,Covered,3,30,0,21
Ontario,Downwind,Covered,3,45,0,21
Ontario,Downwind,Covered,3,60,0,21
Ontario,Downwind,Covered,3,75,0,21
Ontario,Downwind,Covered,3,90,0,21
Ontario,Downwind,Non-covered,1,5,18,21
Ontario,Downwind,Non-covered,1,10,7,21
Ontario,Downwind,Non-covered,1,15,0,21
Ontario,Downwind,Non-covered,1,20,0,21
Ontario,Downwind,Non-covered,1,30,0,21
Ontario,Downwind,Non-covered,1,45,0,21
Ontario,Downwind,Non-covered,1,60,0,21
Ontario,Downwind,Non-covered,1,75,0,21
Ontario,Downwind,Non-covered,1,90,0,21
Ontario,Downwind,Non-covered,2,5,15,21
Ontario,Downwind,Non-covered,2,10,7,21
Ontario,Downwind,Non-covered,2,15,3,21
Ontario,Downwind,Non-covered,2,20,0,21
Ontario,Downwind,Non-covered,2,30,0,21
Ontario,Downwind,Non-covered,2,45,0,21
Ontario,Downwind,Non-covered,2,60,0,21
Ontario,Downwind,Non-covered,2,75,0,21
Ontario,Downwind,Non-covered,2,90,0,21
Ontario,Downwind,Non-covered,3,5,10,21
Ontario,Downwind,Non-covered,3,10,7,21
Ontario,Downwind,Non-covered,3,15,0,21
Ontario,Downwind,Non-covered,3,20,0,21
Ontario,Downwind,Non-covered,3,30,0,21
Ontario,Downwind,Non-covered,3,45,0,21
Ontario,Downwind,Non-covered,3,60,0,21
Ontario,Downwind,Non-covered,3,75,0,21
Ontario,Downwind,Non-covered,3,90,0,21
Indiana,North,Covered,A,1.5,10,21
Indiana,North,Covered,A,3.1,5,21
Indiana,North,Covered,A,4.6,5,21
Indiana,North,Covered,A,6.1,3,21
Indiana,North,Covered,A,7.6,3,21
Indiana,North,Covered,A,9.1,3,21
Indiana,North,Covered,A,10.7,0,21
Indiana,North,Covered,A,12.2,0,21
Indiana,North,Covered,A,13.7,0,21
Indiana,Middle,Covered,A,1.5,10,21
Indiana,Middle,Covered,A,3.1,5,21
Indiana,Middle,Covered,A,4.6,3,21
Indiana,Middle,Covered,A,6.1,3,21
Indiana,Middle,Covered,A,7.6,0,21
Indiana,Middle,Covered,A,9.1,0,21
Indiana,Middle,Covered,A,10.7,0,21
Indiana,Middle,Covered,A,12.2,0,21
Indiana,Middle,Covered,A,13.7,0,21
Indiana,South,Covered,A,1.5,3,21
Indiana,South,Covered,A,3.1,0,21
Indiana,South,Covered,A,4.6,0,21
Indiana,South,Covered,A,6.1,0,21
Indiana,South,Covered,A,7.6,0,21
Indiana,South,Covered,A,9.1,0,21
Indiana,South,Covered,A,10.7,0,21
Indiana,South,Covered,A,12.2,0,21
Indiana,South,Covered,A,13.7,0,21
Indiana,North,Non-covered,A,1.5,90,21
Indiana,North,Non-covered,A,3.1,30,21
Indiana,North,Non-covered,A,4.6,25,21
Indiana,North,Non-covered,A,6.1,15,21
Indiana,North,Non-covered,A,7.6,15,21
Indiana,North,Non-covered,A,9.1,10,21
Indiana,North,Non-covered,A,10.7,10,21
Indiana,North,Non-covered,A,12.2,5,21
Indiana,North,Non-covered,A,13.7,5,21
Indiana,Middle,Non-covered,A,1.5,90,21
Indiana,Middle,Non-covered,A,3.1,30,21
Indiana,Middle,Non-covered,A,4.6,25,21
Indiana,Middle,Non-covered,A,6.1,15,21
Indiana,Middle,Non-covered,A,7.6,15,21
Indiana,Middle,Non-covered,A,9.1,10,21
Indiana,Middle,Non-covered,A,10.7,10,21
Indiana,Middle,Non-covered,A,12.2,5,21
Indiana,Middle,Non-covered,A,13.7,5,21
Indiana,South,Non-covered,A,1.5,85,21
Indiana,South,Non-covered,A,3.1,25,21
Indiana,South,Non-covered,A,4.6,20,21
Indiana,South,Non-covered,A,6.1,10,21
Indiana,South,Non-covered,A,7.6,5,21
Indiana,South,Non-covered,A,9.1,5,21
Indiana,South,Non-covered,A,10.7,5,21
Indiana,South,Non-covered,A,12.2,5,21
Indiana,South,Non-covered,A,13.7,0,21
Michigan,Downwind,Covered,A,0,15,21
Michigan,Downwind,Covered,A,0.8,5,21
Michigan,Downwind,Covered,A,1.5,3,21
Michigan,Downwind,Covered,A,2.3,3,21
Michigan,Downwind,Covered,A,3,3,21
Michigan,Downwind,Covered,A,3.8,0,21
Michigan,Downwind,Covered,A,4.6,0,21
Michigan,Downwind,Covered,A,5.3,0,21
Michigan,Downwind,Covered,A,6.1,0,21
Michigan,Downwind,Covered,A,6.9,0,21
Michigan,Downwind,Covered,A,7.6,0,21
Michigan,Downwind,Covered,A,8.4,0,21
Michigan,Downwind,Covered,A,9.1,0,21
Michigan,Downwind,Covered,A,9.9,0,21
Michigan,Downwind,Covered,A,10.7,0,21
Michigan,Downwind,Covered,A,11.4,0,21
Michigan,Downwind,Covered,A,12.2,0,21
Michigan,Downwind,Covered,A,13,0,21
Michigan,Downwind,Covered,A,13.7,0,21
Michigan,Downwind,Covered,A,14.5,0,21
Michigan,Downwind,Covered,A,15.2,0,21
Michigan,Downwind,Covered,B,0,15,21
Michigan,Downwind,Covered,B,0.8,15,21
Michigan,Downwind,Covered,B,1.5,10,21
Michigan,Downwind,Covered,B,2.3,7,21
Michigan,Downwind,Covered,B,3,7,21
Michigan,Downwind,Covered,B,3.8,7,21
Michigan,Downwind,Covered,B,4.6,5,21
Michigan,Downwind,Covered,B,5.3,2,21
Michigan,Downwind,Covered,B,6.1,2,21
Michigan,Downwind,Covered,B,6.9,0,21
Michigan,Downwind,Covered,B,7.6,0,21
Michigan,Downwind,Covered,B,8.4,0,21
Michigan,Downwind,Covered,B,9.1,0,21
Michigan,Downwind,Covered,B,9.9,0,21
Michigan,Downwind,Covered,B,10.7,0,21
Michigan,Downwind,Covered,B,11.4,0,21
Michigan,Downwind,Covered,B,12.2,0,21
Michigan,Downwind,Covered,B,13,0,21
Michigan,Downwind,Covered,B,13.7,0,21
Michigan,Downwind,Covered,B,14.5,0,21
Michigan,Downwind,Covered,B,15.2,0,21
Michigan,Downwind,Covered,C,0,10,21
Michigan,Downwind,Covered,C,0.8,10,21
Michigan,Downwind,Covered,C,1.5,5,21
Michigan,Downwind,Covered,C,2.3,5,21
Michigan,Downwind,Covered,C,3,7,21
Michigan,Downwind,Covered,C,3.8,3,21
Michigan,Downwind,Covered,C,4.6,2,21
Michigan,Downwind,Covered,C,5.3,5,21
Michigan,Downwind,Covered,C,6.1,3,21
Michigan,Downwind,Covered,C,6.9,0,21
Michigan,Downwind,Covered,C,7.6,0,21
Michigan,Downwind,Covered,C,8.4,0,21
Michigan,Downwind,Covered,C,9.1,0,21
Michigan,Downwind,Covered,C,9.9,0,21
Michigan,Downwind,Covered,C,10.7,0,21
Michigan,Downwind,Covered,C,11.4,0,21
Michigan,Downwind,Covered,C,12.2,0,21
Michigan,Downwind,Covered,C,13,0,21
Michigan,Downwind,Covered,C,13.7,0,21
Michigan,Downwind,Covered,C,14.5,0,21
Michigan,Downwind,Covered,C,15.2,0,21
Michigan,Downwind,Non-covered,A,0,60,21
Michigan,Downwind,Non-covered,A,0.8,60,21
Michigan,Downwind,Non-covered,A,1.5,60,21
Michigan,Downwind,Non-covered,A,2.3,60,21
Michigan,Downwind,Non-covered,A,3,60,21
Michigan,Downwind,Non-covered,A,3.8,50,21
Michigan,Downwind,Non-covered,A,4.6,50,21
Michigan,Downwind,Non-covered,A,5.3,50,21
Michigan,Downwind,Non-covered,A,6.1,50,21
Michigan,Downwind,Non-covered,A,6.9,50,21
Michigan,Downwind,Non-covered,A,7.6,40,21
Michigan,Downwind,Non-covered,A,8.4,40,21
Michigan,Downwind,Non-covered,A,9.1,35,21
Michigan,Downwind,Non-covered,A,9.9,35,21
Michigan,Downwind,Non-covered,A,10.7,35,21
Michigan,Downwind,Non-covered,A,11.4,20,21
Michigan,Downwind,Non-covered,A,12.2,25,21
Michigan,Downwind,Non-covered,A,13,20,21
Michigan,Downwind,Non-covered,A,13.7,25,21
Michigan,Downwind,Non-covered,A,14.5,20,21
Michigan,Downwind,Non-covered,A,15.2,15,21
Michigan,Downwind,Non-covered,B,0,20,21
Michigan,Downwind,Non-covered,B,0.8,15,21
Michigan,Downwind,Non-covered,B,1.5,12,21
Michigan,Downwind,Non-covered,B,2.3,8,21
Michigan,Downwind,Non-covered,B,3,5,21
Michigan,Downwind,Non-covered,B,3.8,5,21
Michigan,Downwind,Non-covered,B,4.6,3,21
Michigan,Downwind,Non-covered,B,5.3,3,21
Michigan,Downwind,Non-covered,B,6.1,3,21
Michigan,Downwind,Non-covered,B,6.9,2,21
Michigan,Downwind,Non-covered,B,7.6,3,21
Michigan,Downwind,Non-covered,B,8.4,3,21
