Cover,Distance,p,pmin,pmax
Covered,15,47.5264704,43.65780471,51.39513609
Covered,15.16570494,47.34576629,43.54170376,51.14982881
Covered,15.33324043,47.16298259,43.42243065,50.90353453
Covered,15.50262668,46.9781172,43.29992396,50.65631044
Covered,15.67388414,46.79116871,43.17412257,50.40821484
Covered,15.84703348,46.60213646,43.04496589,50.15930703
Covered,16.0220956,46.41102056,42.91239405,49.90964707
Covered,16.19909163,46.21782186,42.77634816,49.65929557
Covered,16.37804293,46.02254204,42.63677064,49.40831344
Covered,16.55897111,45.82518354,42.4936055,49.15676158
Covered,16.741898,45.62574965,42.34679872,48.90470059
Covered,16.92684569,45.4242445,42.1962986,48.6521904
Covered,17.11383649,45.22067305,42.04205617,48.39928992
Covered,17.30289297,45.01504113,41.88402562,48.14605663
Covered,17.49403797,44.80735546,41.72216477,47.89254615
Covered,17.68729454,44.59762365,41.55643551,47.63881178
Covered,17.88268602,44.38585421,41.38680431,47.38490411
Covered,18.08023598,44.17205657,41.21324269,47.13087045
Covered,18.27996828,43.9562411,41.03572773,46.87675446
Covered,18.48190702,43.7384191,40.85424254,46.62259565
Covered,18.68607658,43.51860282,40.66877671,46.36842892
Covered,18.8925016,43.29680547,40.47932674,46.11428421
Covered,19.10120699,43.07304125,40.28589647,45.86018604
Covered,19.31221795,42.84732532,40.08849738,45.60615326
Covered,19.52555995,42.61967383,39.8871489,45.35219875
Covered,19.74125874,42.39010391,39.68187859,45.09832922
Covered,19.95934035,42.1586337,39.47272231,44.84454508
Covered,20.17983111,41.92528234,39.25972429,44.59084039
Covered,20.40275763,41.69006999,39.04293705,44.33720292
Covered,20.62814681,41.45301778,38.82242131,44.08361426
Covered,20.85602587,41.21414789,38.59824578,43.83005
Covered,21.08642231,40.97348349,38.37048687,43.5764801
Covered,21.31936394,40.73104876,38.13922834,43.32286917
Covered,21.55487887,40.48686889,37.90456082,43.06917697
Covered,21.79299554,40.24097009,37.66658132,42.81535886
Covered,22.03374268,39.99337956,37.42539272,42.56136641
Covered,22.27714935,39.7441255,37.1811031,42.3071479
Covered,22.52324494,39.4932371,36.93382518,42.05264901
Covered,22.77205914,39.24074453,36.68367568,41.79781338
Covered,23.02362199,38.98667897,36.43077464,41.5425833
Covered,23.27796386,38.73107252,36.17524479,41.28690025
Covered,23.53511544,38.47395827,35.917211,41.03070555
Covered,23.79510777,38.21537025,35.65679958,40.77394092
Covered,24.05797224,37.95534342,35.3941378,40.51654903
Covered,24.32374056,37.69391365,35.12935333,40.25847397
Covered,24.59244484,37.43111773,34.86257374,39.99966172
Covered,24.86411748,37.16699333,34.59392608,39.74006058
Covered,25.13879129,36.90157899,34.32353647,39.4796215
Covered,25.41649943,36.63491409,34.05152972,39.21829846
Covered,25.6972754,36.36703886,33.77802906,38.95604867
Covered,25.98115311,36.09799434,33.50315583,38.69283284
Covered,26.26816681,35.82782234,33.22702928,38.42861539
Covered,26.55835115,35.55656545,32.94976634,38.16336456
Covered,26.85174115,35.28426699,32.67148146,37.89705252
Covered,27.14837224,35.01097101,32.39228652,37.62965551
Covered,27.4482802,34.73672224,32.11229068,37.36115381
Covered,27.75150125,34.46156608,31.83160033,37.09153182
Covered,28.05807198,34.18554854,31.55031902,36.82077806
Covered,28.3680294,33.90871626,31.26854743,36.54888508
Covered,28.68141091,33.63111644,30.98638335,36.27584953
Covered,28.99825435,33.35279684,30.70392168,36.00167201
Covered,29.31859796,33.07380572,30.42125441,35.72635703
Covered,29.6424804,32.79419181,30.13847067,35.44991295
Covered,29.96994077,32.5140043,29.85565674,35.17235186
Covered,30.30101859,32.23329279,29.57289608,34.8936895
Covered,30.63575383,31.95210725,29.29026936,34.61394515
Covered,30.97418689,31.67049801,29.00785452,34.3331415
Covered,31.31635861,31.38851568,28.7257268,34.05130456
Covered,31.66231031,31.10621116,28.4439588,33.76846352
Covered,32.01208373,30.82363559,28.16262052,33.48465066
Covered,32.3657211,30.54084028,27.8817794,33.19990117
Covered,32.7232651,30.25787673,27.60150038,32.91425308
Covered,33.08475889,29.97479655,27.32184599,32.62774711
Covered,33.45024609,29.69165143,27.04287631,32.34042655
Covered,33.81977084,29.40849311,26.76464911,32.05233712
Covered,34.19337772,29.12537335,26.48721986,31.76352685
Covered,34.57111183,28.84234388,26.21064177,31.47404599
Covered,34.95301878,28.55945634,25.93496588,31.1839468
Covered,35.33914464,28.2767623,25.66024106,30.89328354
Covered,35.72953604,27.99431317,25.3865141,30.60211224
Covered,36.12424009,27.71216018,25.11382971,30.31049065
Covered,36.52330444,27.43035436,24.84223063,30.01847808
Covered,36.92677724,27.14894646,24.5717576,29.72613532
Covered,37.33470721,26.86798697,24.30244948,29.43352447
Covered,37.74714358,26.58752605,24.03434324,29.14070887
Covered,38.16413614,26.30761349,23.76747402,28.84775296
Covered,38.58573521,26.02829869,23.50187518,28.55472219
Covered,39.01199168,25.74963061,23.23757835,28.26168287
Covered,39.442957,25.47165778,22.97461343,27.96870212
Covered,39.8786832,25.19442819,22.7130087,27.67584769
Covered,40.31922287,24.91798935,22.4527908,27.38318791
Covered,40.76462917,24.64238818,22.1939848,27.09079156
Covered,41.21495587,24.36767101,21.93661423,26.79872779
Covered,41.67025734,24.09388357,21.68070115,26.50706599
Covered,42.13058851,23.82107093,21.42626614,26.21587571
Covered,42.59600497,23.54927748,21.1733284,25.92522655
Covered,43.06656287,23.27854692,20.92190574,25.63518809
Covered,43.54231903,23.00892222,20.67201466,25.34582977
Covered,44.02333087,22.74044558,20.42367036,25.05722081
Covered,44.50965644,22.47315846,20.1768868,24.76943012
Covered,45.00135445,22.20710148,19.93167674,24.48252622
Covered,45.49848424,21.94231446,19.68805178,24.19657714
Covered,46.00110582,21.67883638,19.44602241,23.91165035
Covered,46.50927987,21.41670535,19.20559804,23.62781266
Covered,47.02306771,21.15595862,18.96678706,23.34513018
Covered,47.54253136,20.89663251,18.72959685,23.06366818
Covered,48.06773353,20.63876247,18.49403387,22.78349108
Covered,48.5987376,20.382383,18.26010368,22.50466232
Covered,49.13560767,20.12752766,18.02781099,22.22724433
Covered,49.67840854,19.87422906,17.79715969,21.95129843
Covered,50.22720574,19.62251886,17.56815294,21.67688477
Covered,50.78206549,19.37242773,17.34079318,21.40406228
Covered,51.34305478,19.12398537,17.11508216,21.13288858
Covered,51.91024131,18.87722049,16.89102105,20.86341992
Covered,52.48369355,18.63216079,16.66861045,20.59571114
Covered,53.06348071,18.388833,16.44785044,20.32981556
Covered,53.64967279,18.14726282,16.22874064,20.065785
Covered,54.24234052,17.90747494,16.01128024,19.80366963
Covered,54.84155545,17.66949305,15.7954681,19.54351801
Covered,55.44738991,17.43333984,15.58130275,19.28537694
Covered,56.05991702,17.19903698,15.36878245,19.0292915
Covered,56.67921071,16.96660511,15.15790529,18.77530493
Covered,57.30534574,16.7360639,14.94866917,18.52345863
Covered,57.93839768,16.50743198,14.74107189,18.27379208
Covered,58.57844294,16.28072702,14.53511123,18.02634281
Covered,59.22555878,16.05596566,14.33078492,17.7811464
Covered,59.87982331,15.83316357,14.12809077,17.53823636
Covered,60.54131549,15.61233542,13.92702668,17.29764417
Covered,61.21011517,15.39349494,13.72759066,17.05939921
Covered,61.88630309,15.17665486,13.52978095,16.82352877
Covered,62.56996084,14.96182696,13.33359596,16.59005797
Covered,63.26117097,14.7490221,13.13903442,16.35900979
Covered,63.96001688,14.53825017,12.94609531,16.13040503
Covered,64.66658295,14.32952016,12.75477799,15.90426234
Covered,65.38095445,14.12284013,12.56508213,15.68059813
Covered,66.10321761,13.91821726,12.37700783,15.45942668
Covered,66.83345961,13.71565781,12.19055558,15.24076004
Covered,67.57176858,13.51516721,12.00572628,15.02460814
Covered,68.31823366,13.31675,11.82252129,14.81097872
Covered,69.07294493,13.12040989,11.64094238,14.5998774
Covered,69.83599349,12.92614976,11.46099179,14.39130773
Covered,70.60747145,12.73397168,11.28267219,14.18527117
Covered,71.38747192,12.54387691,11.10598665,13.98176717
Covered,72.17608905,12.35586594,10.93093869,13.78079319
Covered,72.97341804,12.1699385,10.75753219,13.5823448
Covered,73.77955511,11.98609355,10.58577142,13.38641569
Covered,74.59459758,11.80432936,10.41566097,13.19299775
Covered,75.41864382,11.62464345,10.24720575,13.00208116
Covered,76.2517933,11.44703267,10.08041091,12.81365443
Covered,77.09414657,11.27149317,9.915281833,12.62770451
Covered,77.94580532,11.09802046,9.751824085,12.44421683
Covered,78.80687234,10.9266094,9.590043351,12.26317545
Covered,79.67745156,10.75725423,9.429945396,12.08456306
Covered,80.55764807,10.58994858,9.271536011,11.90836114
Covered,81.44756811,10.4246855,9.114820959,11.73455003
Covered,82.34731909,10.26145746,8.959805922,11.563109
Covered,83.25700961,10.1002564,8.806496448,11.39401635
Covered,84.17674948,9.941073702,8.654897898,11.22724951
Covered,85.10664972,9.783900252,8.505015394,11.06278511
Covered,86.04682256,9.628726433,8.356853768,10.9005991
Covered,86.99738148,9.475542149,8.210417514,10.74066678
Covered,87.95844123,9.324336844,8.065710743,10.58296294
Covered,88.9301178,9.175099519,7.92273714,10.4274619
Covered,89.91252848,9.027818751,7.781499921,10.27413758
Covered,90.90579184,8.882482705,7.642001798,10.12296361
Covered,91.91002778,8.739079159,7.504244948,9.973913369
Covered,92.92535752,8.597595513,7.368230977,9.82696005
Covered,93.95190359,8.458018814,7.233960897,9.68207673
Covered,94.98978992,8.320335763,7.101435105,9.539236422
Covered,96.03914177,8.184532742,6.970653359,9.398412125
Covered,97.10008581,8.05059582,6.841614766,9.259576874
Covered,98.17275009,7.918510776,6.714317769,9.122703782
Covered,99.25726409,7.78826311,6.58876014,8.98776608
Covered,100.3537587,7.659838062,6.464938971,8.854737153
Covered,101.4623663,7.533220626,6.342850676,8.723590576
Covered,102.5832207,7.40839556,6.222490986,8.594300134
Covered,103.7164571,7.285347409,6.103854961,8.466839857
Covered,104.8622125,7.164060512,5.986936988,8.341184036
Covered,106.0206249,7.044519019,5.871730795,8.217307243
Covered,107.1918344,6.926706904,5.758229458,8.09518435
Covered,108.3759822,6.810607979,5.646425416,7.974790541
Covered,109.5732112,6.696205905,5.536310486,7.856101324
Covered,110.7836661,6.583484206,5.427875874,7.739092538
Covered,112.0074928,6.472426283,5.321112202,7.623740365
Covered,113.2448392,6.363015422,5.216009515,7.510021329
Covered,114.4958545,6.255234809,5.11255731,7.397912307
Covered,115.7606898,6.149067539,5.010744553,7.287390526
Covered,117.0394977,6.044496631,4.910559698,7.178433564
Covered,118.3324326,5.941505032,4.811990713,7.071019352
Covered,119.6396505,5.840075636,4.715025099,6.965126173
Covered,120.9613093,5.740191286,4.619649915,6.860732657
Covered,122.2975684,5.64183479,4.525851799,6.757817781
Covered,123.6485892,5.544988926,4.43361699,6.656360861
Covered,125.0145347,5.449636454,4.342931354,6.556341554
Covered,126.3955698,5.355760124,4.253780403,6.457739845
Covered,127.7918612,5.263342686,4.16614932,6.360536052
Covered,129.2035774,5.172366894,4.080022981,6.264710808
Covered,130.6308888,5.08281552,3.995385973,6.170245067
Covered,132.0739677,4.994671357,3.912222623,6.077120091
Covered,133.5329884,4.907917229,3.830517013,5.985317445
Covered,135.0081268,4.822535996,3.750253001,5.89481899
Covered,136.4995611,4.738510563,3.671414246,5.80560688
Covered,138.0074712,4.655823887,3.593984222,5.717663552
Covered,139.5320392,4.574458981,3.517946241,5.630971721
Covered,141.0734491,4.494398921,3.443283469,5.545514373
Covered,142.631887,4.415626852,3.369978945,5.461274759
Covered,144.2075409,4.338125995,3.2980156,5.37823639
Covered,145.8006011,4.26187965,3.227376271,5.296383029
Covered,147.4112598,4.186871202,3.158043719,5.215698684
Covered,149.0397114,4.113084126,3.090000645,5.136167606
Covered,150.6861525,4.040501991,3.023229701,5.057774281
Covered,152.3507819,3.969108466,2.957713511,4.980503422
Covered,154.0338004,3.898887324,2.89343468,4.904339967
Covered,155.7354112,3.829822442,2.830375809,4.829269074
Covered,157.4558197,3.761897809,2.768519506,4.755276113
Covered,159.1952336,3.695097531,2.7078484,4.682346662
Covered,160.9538627,3.629405828,2.648345153,4.610466503
Covered,162.7319195,3.564807043,2.589992467,4.539621618
Covered,164.5296184,3.501285641,2.5327731,4.469798182
Covered,166.3471764,3.438826215,2.476669871,4.40098256
Covered,168.1848131,3.377413488,2.421665672,4.333161304
Covered,170.0427501,3.317032311,2.367743476,4.266321147
Covered,171.9212117,3.257667673,2.314886348,4.200448999
Covered,173.8204247,3.199304696,2.263077446,4.135531946
Covered,175.7406182,3.141928641,2.212300037,4.071557244
Covered,177.6820242,3.085524907,2.162537499,4.008512316
Covered,179.6448768,3.030079038,2.113773328,3.946384748
Covered,181.6294131,2.975576716,2.065991144,3.885162287
Covered,183.6358726,2.922003769,2.0191747,3.824832839
Covered,185.6644974,2.869346172,1.973307882,3.765384462
Covered,187.7155324,2.817590044,1.92837472,3.706805368
Covered,189.7892252,2.766721652,1.884359388,3.649083916
Covered,191.885826,2.71672741,1.841246208,3.592208612
Covered,194.005588,2.667593883,1.799019659,3.536168108
Covered,196.148767,2.619307785,1.757664376,3.480951194
Covered,198.3156217,2.571855977,1.717165154,3.4265468
Covered,200.5064136,2.525225474,1.677506954,3.372943995
Covered,202.7214072,2.47940344,1.638674901,3.32013198
Covered,204.9608699,2.43437719,1.60065429,3.26810009
Covered,207.2250718,2.390134189,1.563430588,3.21683779
Covered,209.5142864,2.346662054,1.526989435,3.166334673
Covered,211.8287899,2.303948553,1.491316645,3.11658046
Covered,214.1688618,2.261981604,1.45639821,3.067564997
Covered,216.5347844,2.220749275,1.422220297,3.019278252
Covered,218.9268434,2.180239786,1.388769256,2.971710316
Covered,221.3453274,2.140441505,1.356031612,2.924851398
Covered,223.7905284,2.101342951,1.323994075,2.878691827
Covered,226.2627415,2.06293279,1.292643532,2.833222049
Covered,228.7622652,2.025199839,1.261967054,2.788432623
Covered,231.289401,1.988133059,1.231951893,2.744314225
Covered,233.8444542,1.951721561,1.20258548,2.700857641
Covered,236.427733,1.915954601,1.173855432,2.65805377
Covered,239.0395493,1.880821582,1.145749544,2.61589362
Covered,241.6802183,1.84631205,1.118255792,2.574368308
Covered,244.3500587,1.812415695,1.091362333,2.533469057
Covered,247.0493929,1.779122351,1.065057503,2.493187198
Covered,249.7785466,1.746421992,1.03932982,2.453514165
Covered,252.5378493,1.714304737,1.014167975,2.414441498
Covered,255.327634,1.68276084,0.989560841,2.375960839
Covered,258.1482374,1.651780697,0.965497465,2.338063929
Covered,261,1.621354841,0.941967069,2.300742613
Non-covered,15,49.14498982,45.92110231,52.36887733
Non-covered,15.16570494,49.11689668,45.90606964,52.32772371
Non-covered,15.33324043,49.08801446,45.89047723,52.2855517
Non-covered,15.50262668,49.058322,45.87430482,52.24233917
Non-covered,15.67388414,49.0277976,45.85753149,52.19806371
Non-covered,15.84703348,48.99641907,45.84013556,52.15270257
Non-covered,16.0220956,48.96416365,45.82209461,52.1062327
Non-covered,16.19909163,48.93100809,45.80338542,52.05863077
