Location,Distance ,DAT,Injury,Cover,Tarp
A,0,21,15,Yes,Yes
A,0.8,21,5,Yes,Yes
A,1.5,21,3,Yes,Yes
A,2.3,21,3,Yes,Yes
A,3,21,3,Yes,Yes
A,3.8,21,0,Yes,Yes
A,4.6,21,0,Yes,Yes
A,5.3,21,0,Yes,Yes
A,6.1,21,0,Yes,Yes
A,6.9,21,0,Yes,Yes
A,7.6,21,0,Yes,Yes
A,8.4,21,0,Yes,Yes
A,9.1,21,0,Yes,Yes
A,9.9,21,0,Yes,Yes
A,10.7,21,0,Yes,Yes
A,11.4,21,0,Yes,Yes
A,12.2,21,0,Yes,Yes
A,13,21,0,Yes,Yes
A,13.7,21,0,Yes,Yes
A,14.5,21,0,Yes,Yes
A,15.2,21,0,Yes,Yes
B,0,21,15,Yes,Yes
B,0.8,21,15,Yes,Yes
B,1.5,21,10,Yes,Yes
B,2.3,21,7,Yes,Yes
B,3,21,7,Yes,Yes
B,3.8,21,7,Yes,Yes
B,4.6,21,5,Yes,Yes
B,5.3,21,2,Yes,Yes
B,6.1,21,2,Yes,Yes
B,6.9,21,0,Yes,Yes
B,7.6,21,0,Yes,Yes
B,8.4,21,0,Yes,Yes
B,9.1,21,0,Yes,Yes
B,9.9,21,0,Yes,Yes
B,10.7,21,0,Yes,Yes
B,11.4,21,0,Yes,Yes
B,12.2,21,0,Yes,Yes
B,13,21,0,Yes,Yes
B,13.7,21,0,Yes,Yes
B,14.5,21,0,Yes,Yes
B,15.2,21,0,Yes,Yes
C,0,21,10,Yes,Yes
C,0.8,21,10,Yes,Yes
C,1.5,21,5,Yes,Yes
C,2.3,21,5,Yes,Yes
C,3,21,7,Yes,Yes
C,3.8,21,3,Yes,Yes
C,4.6,21,2,Yes,Yes
C,5.3,21,5,Yes,Yes
C,6.1,21,3,Yes,Yes
C,6.9,21,0,Yes,Yes
C,7.6,21,0,Yes,Yes
C,8.4,21,0,Yes,Yes
C,9.1,21,0,Yes,Yes
C,9.9,21,0,Yes,Yes
C,10.7,21,0,Yes,Yes
C,11.4,21,0,Yes,Yes
C,12.2,21,0,Yes,Yes
C,13,21,0,Yes,Yes
C,13.7,21,0,Yes,Yes
C,14.5,21,0,Yes,Yes
C,15.2,21,0,Yes,Yes
A,0,21,60,No,Yes
A,0.8,21,60,No,Yes
A,1.5,21,60,No,Yes
A,2.3,21,60,No,Yes
A,3,21,60,No,Yes
A,3.8,21,50,No,Yes
A,4.6,21,50,No,Yes
A,5.3,21,50,No,Yes
A,6.1,21,50,No,Yes
A,6.9,21,50,No,Yes
A,7.6,21,40,No,Yes
A,8.4,21,40,No,Yes
A,9.1,21,35,No,Yes
A,9.9,21,35,No,Yes
A,10.7,21,35,No,Yes
A,11.4,21,20,No,Yes
A,12.2,21,25,No,Yes
A,13,21,20,No,Yes
A,13.7,21,25,No,Yes
A,14.5,21,20,No,Yes
A,15.2,21,15,No,Yes
B,0,21,20,No,Yes
B,0.8,21,15,No,Yes
B,1.5,21,12,No,Yes
B,2.3,21,8,No,Yes
B,3,21,5,No,Yes
B,3.8,21,5,No,Yes
B,4.6,21,3,No,Yes
B,5.3,21,3,No,Yes
B,6.1,21,3,No,Yes
B,6.9,21,2,No,Yes
B,7.6,21,3,No,Yes
B,8.4,21,3,No,Yes
B,9.1,21,2,No,Yes
B,9.9,21,2,No,Yes
B,10.7,21,0,No,Yes
B,11.4,21,0,No,Yes
B,12.2,21,0,No,Yes
B,13,21,0,No,Yes
B,13.7,21,0,No,Yes
B,14.5,21,0,No,Yes
B,15.2,21,0,No,Yes
C,0,21,40,No,Yes
C,0.8,21,30,No,Yes
C,1.5,21,25,No,Yes
C,2.3,21,20,No,Yes
C,3,21,15,No,Yes
C,3.8,21,10,No,Yes
C,4.6,21,5,No,Yes
C,5.3,21,0,No,Yes
C,6.1,21,0,No,Yes
C,6.9,21,0,No,Yes
C,7.6,21,0,No,Yes
C,8.4,21,0,No,Yes
C,9.1,21,0,No,Yes
C,9.9,21,0,No,Yes
C,10.7,21,0,No,Yes
C,11.4,21,0,No,Yes
C,12.2,21,0,No,Yes
C,13,21,0,No,Yes
C,13.7,21,0,No,Yes
C,14.5,21,0,No,Yes
C,15.2,21,0,No,Yes
A,0,21,50,Transect,No
A,1,21,45,Transect,No
A,1.7,21,55,Transect,No
A,2.5,21,55,Transect,No
A,3,21,50,Transect,No
A,4,21,50,Transect,No
A,8,21,45,Transect,No
A,16,21,3,Transect,No
A,30.5,21,0,Transect,No
A,45,21,0,Transect,No
A,60,21,0,Transect,No
A,75,21,0,Transect,No
A,90,21,0,Transect,No
A,105,21,0,Transect,No
A,120,21,0,Transect,No
B,0,21,17,Transect,No
B,1,21,17,Transect,No
B,1.7,21,10,Transect,No
B,2.5,21,8,Transect,No
B,3,21,5,Transect,No
B,4,21,12,Transect,No
B,8,21,5,Transect,No
B,16,21,5,Transect,No
B,30.5,21,3,Transect,No
B,45,21,0,Transect,No
B,60,21,0,Transect,No
B,75,21,6,Transect,No
B,90,21,8,Transect,No
B,105,21,0,Transect,No
B,120,21,0,Transect,No
C,0,21,40,Transect,No
C,1,21,35,Transect,No
C,1.7,21,30,Transect,No
C,2.5,21,25,Transect,No
C,3,21,25,Transect,No
C,4,21,25,Transect,No
C,8,21,20,Transect,No
C,16,21,10,Transect,No
C,30.5,21,0,Transect,No
C,45,21,0,Transect,No
C,60,21,0,Transect,No
C,75,21,0,Transect,No
C,90,21,0,Transect,No
C,105,21,0,Transect,No
C,120,21,0,Transect,No